1,18,21,0,0
2,18,22,0,0
3,20,21,0,0
4,21,20,0,0
5,13,18,0,18
6,4,20,0,18
7,1,18,0,18
8,1,19,0,18
9,6,21,0,18
10,14,22,0,18
11,16,20,0,18
12,11,22,0,18
13,11,19,0,18
14,13,22,0,18
15,4,18,0,20
16,7,21,0,20
17,12,21,0,19
18,9,19,0,20
19,14,20,0,20
20,16,20,0,20
21,5,22,0,20
22,15,18,0,20
23,15,19,0,20
24,8,18,0,20
25,13,18,0,20
26,10,20,0,21
27,10,21,0,21
28,4,21,0,21
29,7,21,0,21
30,14,19,0,21
31,16,20,0,21
32,8,21,0,21
33,11,20,0,21
34,11,22,0,21
35,17,19,0,21
36,3,22,0,21
37,7,18,0,22
38,2,19,0,22
39,6,19,0,22
40,9,20,0,22
41,9,21,0,22
42,16,18,0,22
43,16,20,0,22
44,16,21,0,22
45,5,18,0,22
46,8,22,0,22
47,11,22,0,22
48,17,22,0,22
49,10,19,0,19
50,4,18,0,19
51,4,20,0,19
52,1,18,0,19
53,14,22,0,19
54,5,22,0,19
55,5,19,0,19
56,11,21,0,19
57,17,18,0,19
58,17,19,0,19
59,13,20,0,19
60,3,21,0,19
61,1,7,10,10
62,12,14,10,10
63,4,2,10,4
64,10,11,10,7
65,7,3,10,7
66,12,12,10,7
67,6,4,10,7
68,9,1,10,7
69,3,11,10,7
70,2,14,10,2
71,14,15,10,2
72,12,7,10,6
73,16,5,10,6
74,8,16,10,6
75,11,2,10,6
76,12,16,10,9
77,9,16,10,9
78,2,17,10,14
79,8,2,10,14
80,17,13,10,14
81,9,7,10,16
82,7,7,10,5
83,6,5,10,6
84,7,9,10,15
85,1,12,10,15
86,11,15,10,15
87,17,8,10,15
88,10,13,10,8
89,1,3,10,8
90,5,17,10,8
91,6,15,10,11
92,9,16,10,11
93,9,5,10,11
94,5,13,10,11
95,15,12,10,11
96,13,2,10,13
97,5,9,10,3
98,8,11,10,3
99,13,1,10,3
100,3,13,10,3
101,15,16,4,4
102,15,17,4,4
103,17,9,4,4
104,3,1,4,4
105,5,16,4,7
106,11,4,1,0
107,9,11,4,1
108,5,16,4,1
109,17,6,4,1
110,16,15,4,12
111,15,16,4,12
112,8,9,4,12
113,8,17,4,2
114,12,5,4,6
115,14,15,4,6
116,15,6,4,6
117,3,17,4,6
118,2,13,4,9
119,17,15,4,14
120,11,3,4,16
121,12,3,4,5
122,1,17,4,8
123,12,9,4,8
124,8,16,4,8
125,15,3,4,11
126,13,16,4,11
127,12,1,4,17
128,9,13,4,17
129,5,2,4,17
130,8,11,4,17
131,1,8,4,13
132,15,12,4,13
133,12,17,4,3
134,6,5,4,3
135,5,2,4,3
136,17,8,4,3
137,8,14,7,7
138,1,2,7,1
139,1,6,7,1
140,1,15,7,1
141,9,13,7,1
142,16,1,7,1
143,17,15,7,1
144,13,13,7,1
145,2,5,7,12
146,7,15,7,2
147,7,3,7,2
148,2,12,7,2
149,16,15,7,2
150,1,6,7,9
151,5,3,7,9
152,6,6,7,14
153,6,9,7,14
154,3,17,7,14
155,14,14,7,14
156,14,15,7,14
157,3,14,7,14
158,14,17,7,8
159,11,1,7,8
160,13,13,7,11
161,1,8,7,17
162,12,8,7,17
163,16,6,7,3
164,5,17,7,3
165,2,5,1,12
166,5,11,1,12
167,2,2,1,6
168,6,16,1,9
169,9,13,1,9
170,5,11,1,14
171,8,17,1,14
172,13,6,1,14
173,16,16,1,16
174,15,8,1,16
175,14,13,1,5
176,14,9,1,15
177,12,5,1,8
178,15,17,1,11
179,11,16,1,11
180,14,17,1,17
181,6,17,1,13
182,14,6,1,13
183,9,11,12,12
184,3,14,12,2
185,9,15,12,6
186,11,11,12,6
187,13,14,12,9
188,12,13,12,14
189,2,9,12,14
190,17,9,12,14
191,2,2,12,16
192,16,8,12,16
193,6,14,12,5
194,13,6,12,15
195,13,3,12,15
196,3,16,12,15
197,6,3,12,8
198,9,11,12,8
199,8,8,12,8
200,9,2,12,11
201,13,11,12,17
202,3,14,12,17
203,15,9,12,13
204,15,11,12,13
205,17,2,12,13
206,3,13,12,13
207,3,14,2,2
208,9,3,2,6
209,11,16,2,6
210,6,9,2,14
211,17,16,2,14
212,2,17,2,16
213,11,11,2,5
214,2,8,2,15
215,5,3,2,15
216,3,13,2,15
217,9,16,2,8
218,5,15,2,17
219,6,5,2,13
220,6,17,2,3
221,13,13,2,3
222,13,3,2,3
223,15,3,6,6
224,8,5,6,6
225,17,16,6,6
226,9,16,6,14
227,15,15,6,14
228,9,11,6,5
229,14,3,6,8
230,17,11,6,8
231,15,8,6,11
232,15,13,6,11
233,9,8,9,9
234,17,5,9,5
235,14,5,9,5
236,14,8,9,5
237,15,16,9,5
238,5,17,9,15
239,16,3,9,8
240,13,16,9,8
241,14,13,9,11
242,5,13,9,11
243,16,15,14,16
244,8,11,14,16
245,3,8,14,5
246,17,3,14,13
247,13,3,16,16
248,15,5,16,5
249,5,13,16,15
250,17,13,16,8
251,3,11,5,5
252,11,15,5,15
253,17,8,15,11
254,13,17,8,17
255,17,3,8,3
256,13,3,11,3
